kind,parent_hierarchy,code,lat,lng
5,6:76,11,-10.83,-63.34
5,6:76,12,-8.77,-70.55
5,6:76,13,-3.47,-65.10
5,6:76,14,1.99,-61.33
5,6:76,15,-3.79,-52.48
5,6:76,16,1.41,-51.77
5,6:76,17,-9.46,-48.26
5,6:76,21,-5.42,-45.44
5,6:76,22,-6.60,-42.28
5,6:76,23,-5.20,-39.53
5,6:76,24,-5.81,-36.59
5,6:76,25,-7.28,-36.72
5,6:76,26,-8.38,-37.86
5,6:76,27,-9.62,-36.82
5,6:76,28,-10.57,-37.45
5,6:76,29,-13.29,-41.71
5,6:76,31,-18.10,-44.38
5,6:76,32,-19.19,-40.34
5,6:76,33,-22.25,-42.66
5,6:76,35,-22.19,-48.79
5,6:76,41,-24.89,-51.55
5,6:76,42,-27.45,-50.95
5,6:76,43,-30.17,-53.50
5,6:76,50,-20.51,-54.54
5,6:76,51,-12.64,-55.42
5,6:76,52,-15.98,-49.86
5,6:76,53,-15.83,-47.86
