kind,parent_hierarchy,parents,code,name,abbr,lat,lng
6,6:76:11,3=76&5=11,1101,Madeira-Guaporé,Madeira-Guaporé,,
6,6:76:11,3=76&5=11,1102,Leste Rondoniense,Leste Rondoniense,,
6,6:76:12,3=76&5=12,1201,Vale do Juruá,Vale do Juruá,,
6,6:76:12,3=76&5=12,1202,Vale do Acre,Vale do Acre,,
6,6:76:13,3=76&5=13,1301,Norte Amazonense,Norte Amazonense,,
6,6:76:13,3=76&5=13,1302,Sudoeste Amazonense,Sudoeste Amazonense,,
6,6:76:13,3=76&5=13,1303,Centro Amazonense,Centro Amazonense,,
6,6:76:13,3=76&5=13,1304,Sul Amazonense,Sul Amazonense,,
6,6:76:14,3=76&5=14,1401,Norte de Roraima,Norte de Roraima,,
6,6:76:14,3=76&5=14,1402,Sul de Roraima,Sul de Roraima,,
6,6:76:15,3=76&5=15,1501,Baixo Amazonas,Baixo Amazonas,,
6,6:76:15,3=76&5=15,1502,Marajó,Marajó,,
6,6:76:15,3=76&5=15,1503,Metropolitana de Belém,Metropolitana de Belém,,
6,6:76:15,3=76&5=15,1504,Nordeste Paraense,Nordeste Paraense,,
6,6:76:15,3=76&5=15,1505,Sudoeste Paraense,Sudoeste Paraense,,
6,6:76:15,3=76&5=15,1506,Sudeste Paraense,Sudeste Paraense,,
6,6:76:16,3=76&5=16,1601,Norte do Amapá,Norte do Amapá,,
6,6:76:16,3=76&5=16,1602,Sul do Amapá,Sul do Amapá,,
6,6:76:17,3=76&5=17,1701,Ocidental do Tocantins,Ocidental do Tocantins,,
6,6:76:17,3=76&5=17,1702,Oriental do Tocantins,Oriental do Tocantins,,
6,6:76:21,3=76&5=21,2101,Norte Maranhense,Norte Maranhense,,
6,6:76:21,3=76&5=21,2102,Oeste Maranhense,Oeste Maranhense,,
6,6:76:21,3=76&5=21,2103,Centro Maranhense,Centro Maranhense,,
6,6:76:21,3=76&5=21,2104,Leste Maranhense,Leste Maranhense,,
6,6:76:21,3=76&5=21,2105,Sul Maranhense,Sul Maranhense,,
6,6:76:22,3=76&5=22,2201,Norte Piauiense,Norte Piauiense,,
6,6:76:22,3=76&5=22,2202,Centro-Norte Piauiense,Centro-Norte Piauiense,,
6,6:76:22,3=76&5=22,2203,Sudoeste Piauiense,Sudoeste Piauiense,,
6,6:76:22,3=76&5=22,2204,Sudeste Piauiense,Sudeste Piauiense,,
