kind,parent_hierarchy,parents,code,name,abbr,lat,lng
6,6:76:11,3=76&5=11;3=76&5=11&6=1101,11001,Porto Velho,Porto Velho,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1101,11002,Guajará-Mirim,Guajará-Mirim,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11003,Ariquemes,Ariquemes,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11004,Ji-Paraná,Ji-Paraná,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11005,Alvorada D'Oeste,Alvorada D'Oeste,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11006,Cacoal,Cacoal,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11007,Vilhena,Vilhena,,
6,6:76:11,3=76&5=11;3=76&5=11&6=1102,11008,Colorado do Oeste,Colorado do Oeste,,
6,6:76:12,3=76&5=12;3=76&5=12&6=1201,12001,Cruzeiro do Sul,Cruzeiro do Sul,,
6,6:76:12,3=76&5=12;3=76&5=12&6=1201,12002,Tarauacá,Tarauacá,,
6,6:76:12,3=76&5=12;3=76&5=12&6=1202,12003,Sena Madureira,Sena Madureira,,
6,6:76:12,3=76&5=12;3=76&5=12&6=1202,12004,Rio Branco,Rio Branco,,
6,6:76:12,3=76&5=12;3=76&5=12&6=1202,12005,Brasiléia,Brasiléia,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1301,13001,Rio Negro,Rio Negro,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1301,13002,Japurá,Japurá,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1302,13003,Alto Solimões,Alto Solimões,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1302,13004,Juruá,Juruá,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13005,Tefé,Tefé,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13006,Coari,Coari,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13007,Manaus,Manaus,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13008,Rio Preto da Eva,Rio Preto da Eva,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13009,Itacoatiara,Itacoatiara,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1303,13010,Parintins,Parintins,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1304,13011,Boca do Acre,Boca do Acre,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1304,13012,Purus,Purus,,
6,6:76:13,3=76&5=13;3=76&5=13&6=1304,13013,Madeira,Madeira,,
6,6:76:14,3=76&5=14;3=76&5=14&6=1401,14001,Boa Vista,Boa Vista,,
6,6:76:14,3=76&5=14;3=76&5=14&6=1401,14002,Nordeste de Roraima,Nordeste de Roraima,,
6,6:76:14,3=76&5=14;3=76&5=14&6=1402,14003,Caracaraí,Caracaraí,,
6,6:76:14,3=76&5=14;3=76&5=14&6=1402,14004,Sudeste de Roraima,Sudeste de Roraima,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1501,15001,Óbidos,Óbidos,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1501,15002,Santarém,Santarém,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1501,15003,Almeirim,Almeirim,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1502,15004,Portel,Portel,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1502,15005,Furos de Breves,Furos de Breves,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1502,15006,Arari,Arari,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1503,15007,Belém,Belém,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1503,15008,Castanhal,Castanhal,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1504,15009,Salgado,Salgado,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1504,15010,Bragantina,Bragantina,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1504,15011,Cametá,Cametá,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1504,15012,Tomé-Açu,Tomé-Açu,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1504,15013,Guamá,Guamá,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1505,15014,Itaituba,Itaituba,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1505,15015,Altamira,Altamira,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15016,Tucuruí,Tucuruí,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15017,Paragominas,Paragominas,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15018,São Félix do Xingu,São Félix do Xingu,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15019,Parauapebas,Parauapebas,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15020,Marabá,Marabá,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15021,Redenção,Redenção,,
6,6:76:15,3=76&5=15;3=76&5=15&6=1506,15022,Conceição do Araguaia,Conceição do Araguaia,,
6,6:76:16,3=76&5=16;3=76&5=16&6=1601,16001,Oiapoque,Oiapoque,,
6,6:76:16,3=76&5=16;3=76&5=16&6=1601,16002,Amapá,Amapá,,
6,6:76:16,3=76&5=16;3=76&5=16&6=1602,16003,Macapá,Macapá,,
6,6:76:16,3=76&5=16;3=76&5=16&6=1602,16004,Mazagão,Mazagão,,
6,6:76:17,3=76&5=17;3=76&5=17&6=1701,17001,Bico do Papagaio,Bico do Papagaio,,
6,6:76:17,3=76&5=17;3=76&5=17&6=1701,17002,Araguaína,Araguaína,,
6,6:76:17,3=76&5=17;3=76&5=17&6=1701,17003,Miracema do Tocantins,Miracema do Tocantins,,
6,6:76:17,3=76&5=17;3=76&5=17&6=1701,17004,Rio Formoso,Rio Formoso,,
