kind,parent_hierarchy,parents,code,name,abbr,lat,lng
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1100023,Ariquemes,Ariquemes,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11008,1100031,Cabixi,Cabixi,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100049,Cacoal,Cacoal,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11008,1100056,Cerejeiras,Cerejeiras,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11008,1100064,Colorado do Oeste,Colorado do Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11008,1100072,Corumbiara,Corumbiara,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11002,1100080,Costa Marques,Costa Marques,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100098,Espigão D'Oeste,Espigão D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11002,1100106,Guajará-Mirim,Guajará-Mirim,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1100114,Jaru,Jaru,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1100122,Ji-Paraná,Ji-Paraná,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1100130,Machadinho D'Oeste,Machadinho D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11005,1100148,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11007,1100189,Pimenta Bueno,Pimenta Bueno,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100205,Porto Velho,Porto Velho,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1100254,Presidente Médici,Presidente Médici,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1100262,Rio Crespo,Rio Crespo,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100288,Rolim de Moura,Rolim de Moura,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11007,1100304,Vilhena,Vilhena,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11005,1100320,São Miguel do Guaporé,São Miguel do Guaporé,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100338,Nova Mamoré,Nova Mamoré,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11005,1100346,Alvorada D'Oeste,Alvorada D'Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1100403,Alto Paraíso,Alto Paraíso,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100452,Buritis,Buritis,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1100601,Cacaulândia,Cacaulândia,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100700,Campo Novo de Rondônia,Campo Novo de Rondônia,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100809,Candeias do Jamari,Candeias do Jamari,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1100908,Castanheiras,Castanheiras,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11007,1100924,Chupinguaia,Chupinguaia,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1100940,Cujubim,Cujubim,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1101;3=76&5=11&6=11001,1101104,Itapuã do Oeste,Itapuã do Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11006,1101203,Ministro Andreazza,Ministro Andreazza,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1101302,Mirante da Serra,Mirante da Serra,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11003,1101401,Monte Negro,Monte Negro,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11004,1101435,Nova União,Nova União,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11007,1101450,Parecis,Parecis,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11008,1101468,Pimenteiras do Oeste,Pimenteiras do Oeste,,
7,6:76:11,3=76&5=11;3=76&5=11&6=1102;3=76&5=11&6=11007,1101476,Primavera de Rondônia,Primavera de Rondônia,,
