city_id,cnes_id,name
1100015,2516500,HOSPITAL PARECIS
1100015,2679477,HOSPITAL MUNICIPAL VANESSA E VANIA FUZARI
1100023,2494280,HOSPITAL DA CRIANCA DE ARIQUEMES
1100023,2494299,HOSPITAL REGIONAL DE ARIQUEMES
1100023,2515504,CASA DE SAUDE BOM JESUS ARIQUEMES
1100023,2515555,CLINICA DA CRIANCA ARIQUEMES
1100023,2515598,CLINICAS MASTERPLASTICA MONTE SINAI
1100023,2515601,HOSPITAL SAO FRANCISCO
1100023,6663834,HOSPITAL CARLOS CHAGAS
1100023,9502432,SF SERVICOS MEDICOS INTENSIVE LTDA ME
1100023,9521291,M M INTENSICARE
1100049,2496046,HOSPITAL MUNICIPAL MATERNO INFANTIL CACOAL
1100049,2516381,HOSPITAL DOS ACIDENTADOS CACOAL
1100049,2552930,UNIDADE MISTA DE CACOAL PRONTO SOCORRO
1100049,2784637,HOSPITAL E MATERNIDADE SAO PAULO
1100049,3651665,HOSPITAL GERAL E ORTOPEDICO
1100049,6599877,HOSPITAL REGIONAL DE CACOAL HRC
1100049,6625908,HOSPITAL DO SERVIDOR
1100049,6926401,HOSPITAL SAO DANIEL COMBONI
1100049,7648693,HOSPITAL SAMAR
1100056,2334801,HOSPITAL MUNICIPAL SAO LUCAS
1100064,2808544,HOSPITAL MUNICIPAL DR PEDRO GRANGEIRO XAVIER
1100098,2808587,HOSPITAL MUNICIPAL ANGELINA GEORGETTI
1100098,3049434,HOSPITAL E MATERNIDADE SAO LUCAS ESPIGAO DOSTE
1100098,3049450,HOSPITAL E MATERNIDADE SANTA CECILIA
1100106,2497468,HOSPITAL REGIONAL DO PERPETUO SOCORRO GUAJARA MIRIM
1100106,6804497,HOSPITAL BOM PASTOR
1100114,2803003,HOSPITAL VITORIA JARU
1100114,2808609,HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU
1100114,6898629,CLINICA MARTE DEI
1100122,2495279,HOSPITAL DR CLAUDIONOR COUTO RORIZ
1100122,2515865,HOSPITAL CLISMAR JIPARANA
1100122,2516144,HOSPITAL STELLA MARIS JIPARANA
1100122,3152928,HOSPITAL CANDIDO RONDON
1100122,3503259,HOSPITAL DAS CLINICAS SEIS DE MAIO
1100122,3641910,CIM CENTRO INTEGRADO DE MEDICINA
1100122,7808488,UNIDADE MATERNA INFANTIL
1100130,2808617,HOSPITAL MUNICIPAL DE MACHADINHO DOESTE
1100148,2808633,HOSPITAL MUNICIPAL ANCELMO BIANCHINI
1100155,2496879,HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA
1100155,2516276,HOSPITAL SAO LUCAS DE OURO PRETO
1100155,2516284,HOSPITAL MATER DEI OURO PRETO DO OESTE
1100155,2516292,HOSPITAL BOM JESUS OURO PRETO DO OESTE
1100189,2496534,HOSPITAL E MATERNIDADE MUNICIPAL ANA NETA PIMENTA BUENO
1100189,2516047,HOSPITAL E MATERNIDADE SAO FRANCISCO PIMENTA BUENO
1100205,2493853,CEMETRON PORTO VELHO
1100205,2493888,HOSPITAL JOAO PAULO II PORTO VELHO
1100205,2515369,HOSPITAL SAMAR
1100205,2515431,COMPLEXO HOSPITALAR CENTRAL
1100205,2515458,HOSPITAL DAS CLINICAS PORTO VELHO
1100205,2515466,HOSPITAL 9 DE JULHO DE RONDONIA
1100205,2807092,HOSPITAL SANTA MARCELINA DE RONDONIA
1100205,4001303,HOSPITAL DE BASE PORTO VELHO
1100205,5014824,PRONTO MED
1100205,5084415,HOSPITAL PRONTOCORDIS
1100205,5618347,HOSPITAL REGIONAL DE EXTREMA
1100205,6205224,HOSPITAL UNIMED
1100205,6228968,HOSPITAL DE GUARNICAO DE PORTO VELHO
1100205,6736408,HC SERVICOS HOSPITALARES
1100262,7177739,HOSPITAL MUNICIPAL ELIAS DE OLIVEIRA LIMA
1100288,2495228,HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA
1100288,2516586,HOSPITAL E MATERNIDADE SAO JOSE ROLIM DE MOURA
1100288,2516594,HOSPITAL E MATERNIDADE BOM JESUS LTDA ROLIM DE MOURA
1100296,2679191,HOSPITAL MUNICIPAL MARIA VERLI PINHEIRO
1100304,2515989,HOSPITAL BOM JESUS
1100304,2798484,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
1100304,6602487,CLINICA MEDICA SAINT GERMAIN
1100320,2808668,HOSPITAL MUNICIPAL MASSAO OKAMOTO
1100338,4001958,HOSPITAL ANTONIO LUIZ DE MACEDO NOVA MAMORE
1100379,2806681,HOSPITAL DE PEQUENO PORTE ENFERMEIRA ANA NERI
1100403,2808676,HOSPITAL DE PEQUENO PORTE OSVALDO CRUZ
1100452,2807076,HOSPITAL REGIONAL DE BURITIS
1100452,5915104,CLINICA PRO LIFE
1100452,6073174,HOSPITAL SAO GABRIEL BURITIS
1100452,7428626,ESTUDIO DIAGNOSTICO POR IMAGEM SANTA TEREZA
1100502,4002385,UNIDADE MISTA DE SAUDE DE NOVO HORIOZONTE DO OESTE
1100601,2807084,HOSPITAL DE CACAULANDIA CACAULANDIA
1100940,2808579,HOSPITAL DE PEQUENO PORTE DE CUJUBIM
1101104,4002768,HOSPITAL DE PEQUENO PORTE JOSE BAIOCO
1101302,3156516,HOSPITAL CLIMED
1101302,7586124,HOSPITAL CLIMED
1101401,4003039,HOSPITAL MUNICIPAL DE MONTE NEGRO
1101492,7218656,HOSPITAL REGIONAL DE SAO FRANCISCO
1101500,2744392,HOSPITAL MUNICIPAL JOEL PEREIRA SALGADO
1101500,9739300,HOSPITAL MUNICIPAL
1101609,4003357,HOSPITAL DE PEQUENO PORTE DE THEOBROMA
1101708,2743612,HOSPITAL MUNICIPAL DE URUPA JORGE CARDOSO DE SA
1200104,2001500,HOSPITAL DE CLINICAS RAIMUNDO CHAAR
1200203,2000172,SESACRE HOSPITAL DE DERMATOLOGIA SANITARIA
1200203,2000180,SANTA CASA DE MISERICORDIA DE CRUZEIRO DO SUL
1200203,5336171,HOSPITAL REGIONAL DO JURUA
1200302,2000636,HOSPITAL GERAL DE FEIJO
1200336,2000083,HOSPITAL DR ABEL PINHEIRO MACIEL FILHO
1200385,2000997,HOSPITAL DR MANOEL MARINHO MONTE
1200401,2001578,HOSPITAL GERAL DE CLINICAS DE RIO BRANCO
1200401,2001586,FUNDHACRE
1200401,2002078,HOSPITAL SANTA JULIANA
1200401,3046362,PRONTO CLINICA
1200401,6497314,SANTA CASA
1200450,2000725,HOSPITAL DR ARY RODRIGUES
1200500,2000865,HOSPITAL JOAO CANCIO FERNANDES
1200609,2000121,HOSPITAL DR SANSAO GOMES
1200708,2000393,HOSPITAL EPAMINONDAS JACOME
1300029,2017768,UNIDADE HOSPITALAR DE ALVARAES
1300060,2016648,UNIDADE HOSPITALAR DE AMATURA
1300086,2017679,UNIDADE HOSPITALAR DE ANAMA
1300102,2717379,UNIDADE HOSPITALAR DE ANORI
1300144,2013282,UNIDADE HOSPITALAR DE APUI
1300201,2016672,UNIDADE HOSPITALAR DE ATALAIA DO NORTE
1300300,2013045,UNIDADE HOSPITALAR DE AUTAZES
1300409,2015242,UNIDADE HOSPITALAR DE BARCELOS
1300508,2012022,UNIDADE HOSPITAR DE BARREIRINHA
1300607,2016974,HOSPITAL GERAL DE BENJAMIN CONSTANT DOUTOR MELVINO DE JESUS
1300631,2016605,UNIDADE HOSPITALAR DE BERURI
1300680,2016354,UNIDADE HOSPITALAR DE BOA VISTA DO RAMOS
1300706,2012499,UNIDADE HOSPITALAR DE BOCA DO ACRE
1300805,2012383,HOSPITAL DE BORBA VO MUNDOCA
1300839,2016656,UNIDADE HOSPITALAR DE CAAPIRANGA
1300904,2016419,UNIDADE HOSPITALAR DE CANUTAMA
1301001,2017555,UNIDADE HOSPITALAR DE CARAUARI
1301100,2017652,UNIDADE HOSPITALAR DE CASTANHO
1301209,2018136,HOSPITAL REGIONAL DE COARI PREF DR ODAIR CARLOS GERALDO
1301308,2019523,UNIDADE HOSPITALAR DE CODAJAS
1301407,2016397,UNIDADE HOSPITALAR DE EIRUNEPE
1301506,2708892,UNIDADE HOSPITALAR DE ENVIRA
1301654,2017997,UNIDADE HOSPITALAR DE GUAJARA
1301704,2017016,HOSPITAL DR LUIZA DA CONCEICAO FERNANDES
1301803,2013614,UNIDADE HOSPITALAR DE IPIXUNA
1301852,2012839,UNIDADE HOSPITALAR DE IRANDUBA
1301902,2016923,HOSPITAL REGIONAL JOSE MENDES
1302009,2708906,UNIDADE HOSPITALAR DE ITAPIRANGA
1302108,2013495,UNIDADE HOSPITALAR DE JAPURA
1302207,2708914,UNIDADE HOSPITALAR DE JURUA
1302306,2011875,UNIDADE HOSPITALAR DE JUTAI
1302405,2012618,UNIDADE HOSPITALAR DE LABREA
1302504,2013258,HOSPITAL GERAL DE MANACAPURU
1302553,2011891,UNIDADE HOSPITALAR DE MANAQUIRI
1302603,2012685,FUNDACAO HOSPITAL ADRIANO JORGE
1302603,2013509,HOSPITAL DE AERONAUTICA DE MANAUS
1302603,2013606,FUNDACAO DE MEDICINA TROPICAL
1302603,2013649,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO
1302603,2013703,CLINICA MATHER
1302603,2016389,HOSPITAL DAS CLINICAS DA AMAZONIA OCIDENTAL LTDA
1302603,2016621,HOSPITAL DA POLICIA MILITAR
1302603,2017199,SAMEL
1302603,2017245,HOSPITAL ADVENTISTA DE MANAUS
1302603,2017644,HOSPITAL UNIVERSITARIO GETULIO VARGAS
1302603,2017741,HOSPITAL RIO AMAZONAS
1302603,2017792,HMU HOSPITAL MATERNIDADE UNIMED
1302603,2018012,HOSPITAL SAO LUCAS
1302603,2018055,HOSPITAL SANTA JULIA
1302603,2018098,HOSPITAL PORTUGUES
1302603,2018101,HOSPITAL GERALDO DA ROCHA
1302603,2018152,COMPLEXO HOSPITALAR FLEMING
1302603,2018357,SANTA CASA DE MISERICORDIA DE MANAUS
1302603,2018365,HOSPITAL SANTO ALBERTO
1302603,2018373,HUPL HOSPITAL UNIMED PARQUE DAS LARANJEIRAS
1302603,2019566,HOSPITAL CHAPOT PREVOST
1302603,2019574,HOSPITAL P S DR JOAO LUCIO P MACHADO
1302603,3838307,HOSPITAL NILTON LINS
1302603,5169976,HOSPITAL E PRONTO SOCORRO DR ARISTOTELES PLATAO B DE ARAUJO
1302603,7564546,HOSPITAL E PRONTO SOCORRO DA ZONA NORTE DELPHINA AZIZ
1302603,9115153,HOSPITAL RIO NEGRO
1302603,9193774,HOSPITAL PRONTOCORD UNIMED
1302603,9344314,HOSPITAL GERAL DE MANAUS
1302702,2014688,UNIDADE HOSPITALAR DE MANICORE
1302801,2017660,UNIDADE HOSPITALAR DE MARAA
1303007,2016540,UNIDADE HOSPITALAR DE NHAMUNDA
1303106,2011905,UNIDADE HOSPITALAR DE NOVA OLINDA DO NORTE
1303205,2708922,UNIDADE HOSPITALAR DE NOVO AIRAO
1303304,2019604,UNIDADE HOSPITALAR DE NOVO ARIPUANA
1303403,2016893,HOSPITAL PADRE COLOMBO
1303403,3210243,HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN
1303536,2013320,HOSPITAL GERAL ERALDO NEVES FALCAO
1303569,2708930,UNIDADE HOSPITALAR DE RIO PRETO DA EVA
1303601,2016478,UNIDADE HOSPITALAR DE SANTA ISABEL DO RIO NEGRO
1303700,3220966,UNIDADE HOSPITALAR DE SANTO ANTONIO DO ICA
1303700,7013434,HOSPITAL BATISTA DO AMAZONAS
1303809,4004787,HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA
1303908,2018128,UNIDADE HOSPITALAR DE SAO PAULO DE OLIVENCA
1303957,2011859,UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA
1304005,2016249,UNIDADE HOSPITALAR DE SILVES
1304062,2016125,HOSPITAL DE GUARNICAO DE TABATINGA
1304104,2012553,UNIDADE HOSPITALAR DE TAPAUA
1304203,2016141,HOSPITAL REGIONAL DE TEFE
1304237,2012804,UNIDADE HOSPITALAR DE TONANTINS HOSPITAL FREI FRANCISCO
1304260,2016443,UNIDADE HOSPITALAR DE UARINI
1304302,2717395,UNIDADE HOSPITALAR DE URUCARA
