email,cnes_id,date,cab,cpb,iab,ipb
notifier@notifier.com,2516500,2020-04-30,1000,1000,200,200
notifier@notifier.com,2516500,2020-04-29,900,900,180,180
notifier@notifier.com,2516500,2020-04-28,800,800,160,160
notifier@notifier.com,2516500,2020-04-27,700,700,140,140
notifier@notifier.com,2516500,2020-04-26,600,600,120,120
notifier@notifier.com,2516500,2020-04-25,500,500,100,100
notifier@notifier.com,2516500,2020-04-24,350,400,80,75
notifier@notifier.com,2516500,2020-04-23,250,250,60,60
notifier@notifier.com,2516500,2020-04-22,200,150,50,55
notifier@notifier.com,2516500,2020-04-21,100,100,40,40
notifier@notifier.com,2001500,2020-04-30,1000,1000,200,200
notifier@notifier.com,2001500,2020-04-29,900,900,180,180
notifier@notifier.com,2001500,2020-04-28,800,800,160,160
notifier@notifier.com,2001500,2020-04-27,700,700,140,140
notifier@notifier.com,2001500,2020-04-26,600,600,120,120
notifier@notifier.com,2001500,2020-04-25,500,500,100,100
notifier@notifier.com,2001500,2020-04-24,350,400,80,75
notifier@notifier.com,2001500,2020-04-23,250,250,60,60
notifier@notifier.com,2001500,2020-04-22,200,150,50,55
notifier@notifier.com,2001500,2020-04-21,100,100,40,40
notifier@notifier.com,2017768,2020-04-30,1000,1000,200,200
notifier@notifier.com,2017768,2020-04-29,900,900,180,180
notifier@notifier.com,2017768,2020-04-28,800,800,160,160
notifier@notifier.com,2017768,2020-04-27,700,700,140,140
notifier@notifier.com,2017768,2020-04-26,600,600,120,120
notifier@notifier.com,2017768,2020-04-25,500,500,100,100
notifier@notifier.com,2017768,2020-04-24,350,400,80,75
notifier@notifier.com,2017768,2020-04-23,250,250,60,60
notifier@notifier.com,2017768,2020-04-22,200,150,50,55
notifier@notifier.com,2017768,2020-04-21,100,100,40,40
notifier@notifier.com,4004876,2020-04-30,1000,1000,200,200
notifier@notifier.com,4004876,2020-04-29,900,900,180,180
notifier@notifier.com,4004876,2020-04-28,800,800,160,160
notifier@notifier.com,4004876,2020-04-27,700,700,140,140
notifier@notifier.com,4004876,2020-04-26,600,600,120,120
notifier@notifier.com,4004876,2020-04-25,500,500,100,100
notifier@notifier.com,4004876,2020-04-24,350,400,80,75
notifier@notifier.com,4004876,2020-04-23,250,250,60,60
notifier@notifier.com,4004876,2020-04-22,200,150,50,55
notifier@notifier.com,4004876,2020-04-21,100,100,40,40
notifier@notifier.com,0010456,2020-04-30,1000,1000,200,200
notifier@notifier.com,0010456,2020-04-29,900,900,180,180
notifier@notifier.com,0010456,2020-04-28,800,800,160,160
notifier@notifier.com,0010456,2020-04-27,700,700,140,140
notifier@notifier.com,0010456,2020-04-26,600,600,120,120
notifier@notifier.com,0010456,2020-04-25,500,500,100,100
notifier@notifier.com,0010456,2020-04-24,350,400,80,75
notifier@notifier.com,0010456,2020-04-23,250,250,60,60
notifier@notifier.com,0010456,2020-04-22,200,150,50,55
notifier@notifier.com,0010456,2020-04-21,100,100,40,40
