email,cnes_id,date,sacc,cacc,spcc,cpcc,saic,caic,spic,cpic,gacc,gpcc,gaic,gpic
notifier@notifier.com,2516500,2020-04-30,900,800,900,900,200,200,200,200,100,100,0,0
notifier@notifier.com,2516500,2020-04-29,800,700,800,800,180,180,180,180,100,100,0,0
notifier@notifier.com,2516500,2020-04-28,700,600,700,700,160,160,160,160,100,100,0,0
notifier@notifier.com,2516500,2020-04-27,600,500,600,600,140,140,140,140,100,100,0,0
notifier@notifier.com,2516500,2020-04-26,500,400,500,500,120,120,120,120,100,100,0,0
notifier@notifier.com,2516500,2020-04-25,400,300,400,400,100,100,100,100,100,100,0,0
notifier@notifier.com,2516500,2020-04-24,350,300,350,300,75,70,75,70,0,50,5,0
notifier@notifier.com,2516500,2020-04-23,200,100,120,100,50,35,60,50,50,50,10,10
notifier@notifier.com,2516500,2020-04-22,100,10,10,8,15,5,0,0,100,100,10,15
notifier@notifier.com,2516500,2020-04-21,50,0,5,0,10,1,0,0,50,30,25,20
notifier@notifier.com,2001500,2020-04-30,900,800,900,900,200,200,200,200,100,100,0,0
notifier@notifier.com,2001500,2020-04-29,800,700,800,800,180,180,180,180,100,100,0,0
notifier@notifier.com,2001500,2020-04-28,700,600,700,700,160,160,160,160,100,100,0,0
notifier@notifier.com,2001500,2020-04-27,600,500,600,600,140,140,140,140,100,100,0,0
notifier@notifier.com,2001500,2020-04-26,500,400,500,500,120,120,120,120,100,100,0,0
notifier@notifier.com,2001500,2020-04-25,400,300,400,400,100,100,100,100,100,100,0,0
notifier@notifier.com,2001500,2020-04-24,350,300,350,300,75,70,75,70,0,50,5,0
notifier@notifier.com,2001500,2020-04-23,200,100,120,100,50,35,60,50,50,50,10,10
notifier@notifier.com,2001500,2020-04-22,100,10,10,8,15,5,0,0,100,100,10,15
notifier@notifier.com,2001500,2020-04-21,50,0,5,0,10,1,0,0,50,30,25,20
notifier@notifier.com,2017768,2020-04-30,900,800,900,900,200,200,200,200,100,100,0,0
notifier@notifier.com,2017768,2020-04-29,800,700,800,800,180,180,180,180,100,100,0,0
notifier@notifier.com,2017768,2020-04-28,700,600,700,700,160,160,160,160,100,100,0,0
notifier@notifier.com,2017768,2020-04-27,600,500,600,600,140,140,140,140,100,100,0,0
notifier@notifier.com,2017768,2020-04-26,500,400,500,500,120,120,120,120,100,100,0,0
notifier@notifier.com,2017768,2020-04-25,400,300,400,400,100,100,100,100,100,100,0,0
notifier@notifier.com,2017768,2020-04-24,350,300,350,300,75,70,75,70,0,50,5,0
notifier@notifier.com,2017768,2020-04-23,200,100,120,100,50,35,60,50,50,50,10,10
notifier@notifier.com,2017768,2020-04-22,100,10,10,8,15,5,0,0,100,100,10,15
notifier@notifier.com,2017768,2020-04-21,50,0,5,0,10,1,0,0,50,30,25,20
notifier@notifier.com,4004876,2020-04-30,900,800,900,900,200,200,200,200,100,100,0,0
notifier@notifier.com,4004876,2020-04-29,800,700,800,800,180,180,180,180,100,100,0,0
notifier@notifier.com,4004876,2020-04-28,700,600,700,700,160,160,160,160,100,100,0,0
notifier@notifier.com,4004876,2020-04-27,600,500,600,600,140,140,140,140,100,100,0,0
notifier@notifier.com,4004876,2020-04-26,500,400,500,500,120,120,120,120,100,100,0,0
notifier@notifier.com,4004876,2020-04-25,400,300,400,400,100,100,100,100,100,100,0,0
notifier@notifier.com,4004876,2020-04-24,350,300,350,300,75,70,75,70,0,50,5,0
notifier@notifier.com,4004876,2020-04-23,200,100,120,100,50,35,60,50,50,50,10,10
notifier@notifier.com,4004876,2020-04-22,100,10,10,8,15,5,0,0,100,100,10,15
notifier@notifier.com,4004876,2020-04-21,50,0,5,0,10,1,0,0,50,30,25,20
notifier@notifier.com,0010456,2020-04-30,900,800,900,900,200,200,200,200,100,100,0,0
notifier@notifier.com,0010456,2020-04-29,800,700,800,800,180,180,180,180,100,100,0,0
notifier@notifier.com,0010456,2020-04-28,700,600,700,700,160,160,160,160,100,100,0,0
notifier@notifier.com,0010456,2020-04-27,600,500,600,600,140,140,140,140,100,100,0,0
notifier@notifier.com,0010456,2020-04-26,500,400,500,500,120,120,120,120,100,100,0,0
notifier@notifier.com,0010456,2020-04-25,400,300,400,400,100,100,100,100,100,100,0,0
notifier@notifier.com,0010456,2020-04-24,350,300,350,300,75,70,75,70,0,50,5,0
notifier@notifier.com,0010456,2020-04-23,200,100,120,100,50,35,60,50,50,50,10,10
notifier@notifier.com,0010456,2020-04-22,100,10,10,8,15,5,0,0,100,100,10,15
notifier@notifier.com,0010456,2020-04-21,50,0,5,0,10,1,0,0,50,30,25,20
